order_number,product_key,customer_key,order_date,shipping_date,due_date,sales_amount,quantity,price
SO54496,282,5400,16-03-2013,23-03-2013,28-03-2013,25,1,25
SO54496,289,5400,16-03-2013,23-03-2013,28-03-2013,5,1,5
SO54496,259,5400,16-03-2013,23-03-2013,28-03-2013,2,1,2
SO54497,174,9281,16-03-2013,23-03-2013,28-03-2013,22,1,22
SO54497,280,9281,16-03-2013,23-03-2013,28-03-2013,9,1,9
SO54498,174,4825,16-03-2013,23-03-2013,28-03-2013,22,1,22
SO54498,277,4825,16-03-2013,23-03-2013,28-03-2013,54,1,54
SO54499,289,4286,16-03-2013,23-03-2013,28-03-2013,5,1,5
SO54499,246,4286,16-03-2013,23-03-2013,28-03-2013,35,1,35
SO54500,289,1472,16-03-2013,23-03-2013,28-03-2013,5,1,5
SO54500,284,1472,16-03-2013,23-03-2013,28-03-2013,35,1,35
SO54500,244,1472,16-03-2013,23-03-2013,28-03-2013,35,1,35
SO54500,166,1472,16-03-2013,23-03-2013,28-03-2013,9,1,9
SO54501,290,2777,16-03-2013,23-03-2013,28-03-2013,4,1,4
SO54501,287,2777,16-03-2013,23-03-2013,28-03-2013,33,1,33
SO54502,286,5302,16-03-2013,23-03-2013,28-03-2013,25,1,25
SO54502,290,5302,16-03-2013,23-03-2013,28-03-2013,4,1,4
SO54502,166,5302,16-03-2013,23-03-2013,28-03-2013,9,1,9
SO54502,245,5302,16-03-2013,23-03-2013,28-03-2013,35,1,35
SO54503,290,582,16-03-2013,23-03-2013,28-03-2013,4,1,4
SO54503,259,582,16-03-2013,23-03-2013,28-03-2013,2,1,2
SO54504,290,9149,16-03-2013,23-03-2013,28-03-2013,4,1,4
SO54504,259,9149,16-03-2013,23-03-2013,28-03-2013,2,1,2
SO54505,283,3822,16-03-2013,23-03-2013,28-03-2013,30,1,30
SO54506,290,14527,16-03-2013,23-03-2013,28-03-2013,4,1,4
SO54506,285,14527,16-03-2013,23-03-2013,28-03-2013,21,1,21
SO54506,246,14527,16-03-2013,23-03-2013,28-03-2013,35,1,35
SO54507,285,16815,16-03-2013,23-03-2013,28-03-2013,21,1,21
SO54507,259,16815,16-03-2013,23-03-2013,28-03-2013,2,1,2
SO54507,281,16815,16-03-2013,23-03-2013,28-03-2013,159,1,159
SO54508,284,13,16-03-2013,23-03-2013,28-03-2013,35,1,35
SO54508,289,13,16-03-2013,23-03-2013,28-03-2013,5,1,5
SO54508,244,13,16-03-2013,23-03-2013,28-03-2013,35,1,35
SO54509,284,732,16-03-2013,23-03-2013,28-03-2013,35,1,35
SO54509,289,732,16-03-2013,23-03-2013,28-03-2013,5,1,5
SO54509,174,732,16-03-2013,23-03-2013,28-03-2013,22,1,22
SO54509,234,732,16-03-2013,23-03-2013,28-03-2013,24,1,24
SO54510,284,3354,16-03-2013,23-03-2013,28-03-2013,35,1,35
SO54510,289,3354,16-03-2013,23-03-2013,28-03-2013,5,1,5
SO54510,246,3354,16-03-2013,23-03-2013,28-03-2013,35,1,35
SO54511,105,348,16-03-2013,23-03-2013,28-03-2013,9,1,9
SO54511,295,348,16-03-2013,23-03-2013,28-03-2013,5,1,5
SO54512,136,5897,16-03-2013,23-03-2013,28-03-2013,1701,1,1701
SO54512,295,5897,16-03-2013,23-03-2013,28-03-2013,5,1,5
SO54512,105,5897,16-03-2013,23-03-2013,28-03-2013,9,1,9
SO54513,136,3084,16-03-2013,23-03-2013,28-03-2013,1701,1,1701
SO54513,251,3084,16-03-2013,23-03-2013,28-03-2013,50,1,50
SO54514,117,3104,16-03-2013,23-03-2013,28-03-2013,769,1,769
SO54514,104,3104,16-03-2013,23-03-2013,28-03-2013,10,1,10
SO54514,295,3104,16-03-2013,23-03-2013,28-03-2013,5,1,5
SO54515,126,9425,16-03-2013,23-03-2013,28-03-2013,540,1,540
SO54515,295,9425,16-03-2013,23-03-2013,28-03-2013,5,1,5
SO54515,105,9425,16-03-2013,23-03-2013,28-03-2013,9,1,9
SO54516,127,9817,16-03-2013,23-03-2013,28-03-2013,540,1,540
SO54516,285,9817,16-03-2013,23-03-2013,28-03-2013,21,1,21
SO54516,290,9817,16-03-2013,23-03-2013,28-03-2013,4,1,4
SO54516,245,9817,16-03-2013,23-03-2013,28-03-2013,35,1,35
SO54516,250,9817,16-03-2013,23-03-2013,28-03-2013,50,1,50
SO54517,166,17829,16-03-2013,23-03-2013,28-03-2013,9,1,9
SO54517,150,17829,16-03-2013,23-03-2013,28-03-2013,742,1,742
SO54518,144,15330,16-03-2013,23-03-2013,28-03-2013,742,1,742
SO54518,105,15330,16-03-2013,23-03-2013,28-03-2013,9,1,9
SO54518,295,15330,16-03-2013,23-03-2013,28-03-2013,5,1,5
SO54518,247,15330,16-03-2013,23-03-2013,28-03-2013,55,1,55
SO54519,121,98,16-03-2013,23-03-2013,28-03-2013,2295,1,2295
SO54519,104,98,16-03-2013,23-03-2013,28-03-2013,10,1,10
SO54520,155,14367,16-03-2013,23-03-2013,28-03-2013,1215,1,1215
SO54520,288,14367,16-03-2013,23-03-2013,28-03-2013,29,1,29
SO54521,126,10655,16-03-2013,23-03-2013,28-03-2013,540,1,540
SO54521,105,10655,16-03-2013,23-03-2013,28-03-2013,9,1,9
SO54521,295,10655,16-03-2013,23-03-2013,28-03-2013,5,1,5
SO54521,250,10655,16-03-2013,23-03-2013,28-03-2013,50,1,50
SO54522,128,18401,16-03-2013,23-03-2013,28-03-2013,540,1,540
SO54522,295,18401,16-03-2013,23-03-2013,28-03-2013,5,1,5
SO54522,105,18401,16-03-2013,23-03-2013,28-03-2013,9,1,9
SO54522,294,18401,16-03-2013,23-03-2013,28-03-2013,64,1,64
SO54523,134,16144,16-03-2013,23-03-2013,28-03-2013,1120,1,1120
SO54523,105,16144,16-03-2013,23-03-2013,28-03-2013,9,1,9
SO54523,295,16144,16-03-2013,23-03-2013,28-03-2013,5,1,5
SO54523,246,16144,16-03-2013,23-03-2013,28-03-2013,35,1,35
SO54524,165,1631,16-03-2013,23-03-2013,28-03-2013,2384,1,2384
SO54524,246,1631,16-03-2013,23-03-2013,28-03-2013,35,1,35
SO54525,158,13106,16-03-2013,23-03-2013,28-03-2013,2384,1,2384
SO54525,245,13106,16-03-2013,23-03-2013,28-03-2013,35,1,35
SO54526,116,51,16-03-2013,23-03-2013,28-03-2013,769,1,769
SO54526,174,51,16-03-2013,23-03-2013,28-03-2013,22,1,22
SO54526,292,51,16-03-2013,23-03-2013,28-03-2013,64,1,64
SO54527,134,12415,17-03-2013,24-03-2013,29-03-2013,1120,1,1120
SO54527,246,12415,17-03-2013,24-03-2013,29-03-2013,35,1,35
SO54527,276,12415,17-03-2013,24-03-2013,29-03-2013,54,1,54
SO54528,123,1134,17-03-2013,24-03-2013,29-03-2013,2320,1,2320
SO54528,174,1134,17-03-2013,24-03-2013,29-03-2013,22,1,22
SO54528,104,1134,17-03-2013,24-03-2013,29-03-2013,10,1,10
SO54528,295,1134,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54528,246,1134,17-03-2013,24-03-2013,29-03-2013,35,1,35
SO54528,250,1134,17-03-2013,24-03-2013,29-03-2013,50,1,50
SO54529,282,3100,17-03-2013,24-03-2013,29-03-2013,25,1,25
SO54529,259,3100,17-03-2013,24-03-2013,29-03-2013,2,1,2
SO54530,166,2182,17-03-2013,24-03-2013,29-03-2013,9,1,9
SO54530,260,2182,17-03-2013,24-03-2013,29-03-2013,120,1,120
SO54531,272,15774,17-03-2013,24-03-2013,29-03-2013,70,1,70
SO54532,290,2642,17-03-2013,24-03-2013,29-03-2013,4,1,4
SO54532,246,2642,17-03-2013,24-03-2013,29-03-2013,35,1,35
SO54532,277,2642,17-03-2013,24-03-2013,29-03-2013,54,1,54
SO54532,233,2642,17-03-2013,24-03-2013,29-03-2013,24,1,24
SO54533,249,3060,17-03-2013,24-03-2013,29-03-2013,50,1,50
SO54533,233,3060,17-03-2013,24-03-2013,29-03-2013,24,1,24
SO54534,290,2628,17-03-2013,24-03-2013,29-03-2013,4,1,4
SO54534,278,2628,17-03-2013,24-03-2013,29-03-2013,54,1,54
SO54534,166,2628,17-03-2013,24-03-2013,29-03-2013,9,1,9
SO54535,139,12777,17-03-2013,24-03-2013,29-03-2013,2443,1,2443
SO54535,246,12777,17-03-2013,24-03-2013,29-03-2013,35,1,35
SO54536,117,17905,17-03-2013,24-03-2013,29-03-2013,769,1,769
SO54536,283,17905,17-03-2013,24-03-2013,29-03-2013,30,1,30
SO54537,290,181,17-03-2013,24-03-2013,29-03-2013,4,1,4
SO54537,244,181,17-03-2013,24-03-2013,29-03-2013,35,1,35
SO54538,291,16632,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54538,288,16632,17-03-2013,24-03-2013,29-03-2013,29,1,29
SO54539,285,16741,17-03-2013,24-03-2013,29-03-2013,21,1,21
SO54539,290,16741,17-03-2013,24-03-2013,29-03-2013,4,1,4
SO54540,285,16026,17-03-2013,24-03-2013,29-03-2013,21,1,21
SO54540,259,16026,17-03-2013,24-03-2013,29-03-2013,2,1,2
SO54541,288,15176,17-03-2013,24-03-2013,29-03-2013,29,1,29
SO54541,291,15176,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54541,247,15176,17-03-2013,24-03-2013,29-03-2013,55,1,55
SO54542,290,17683,17-03-2013,24-03-2013,29-03-2013,4,1,4
SO54542,286,17683,17-03-2013,24-03-2013,29-03-2013,25,1,25
SO54542,244,17683,17-03-2013,24-03-2013,29-03-2013,35,1,35
SO54543,287,14153,17-03-2013,24-03-2013,29-03-2013,33,1,33
SO54543,259,14153,17-03-2013,24-03-2013,29-03-2013,2,1,2
SO54544,287,13451,17-03-2013,24-03-2013,29-03-2013,33,1,33
SO54544,244,13451,17-03-2013,24-03-2013,29-03-2013,35,1,35
SO54545,235,13315,17-03-2013,24-03-2013,29-03-2013,24,1,24
SO54545,287,13315,17-03-2013,24-03-2013,29-03-2013,33,1,33
SO54546,283,12133,17-03-2013,24-03-2013,29-03-2013,30,1,30
SO54546,259,12133,17-03-2013,24-03-2013,29-03-2013,2,1,2
SO54546,168,12133,17-03-2013,24-03-2013,29-03-2013,8,1,8
SO54546,260,12133,17-03-2013,24-03-2013,29-03-2013,120,1,120
SO54547,289,12895,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54547,283,12895,17-03-2013,24-03-2013,29-03-2013,30,1,30
SO54547,244,12895,17-03-2013,24-03-2013,29-03-2013,35,1,35
SO54548,289,741,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54548,283,741,17-03-2013,24-03-2013,29-03-2013,30,1,30
SO54548,259,741,17-03-2013,24-03-2013,29-03-2013,2,1,2
SO54549,283,7555,17-03-2013,24-03-2013,29-03-2013,30,1,30
SO54549,289,7555,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54549,246,7555,17-03-2013,24-03-2013,29-03-2013,35,1,35
SO54550,283,186,17-03-2013,24-03-2013,29-03-2013,30,1,30
SO54550,289,186,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54550,246,186,17-03-2013,24-03-2013,29-03-2013,35,1,35
SO54551,104,12252,17-03-2013,24-03-2013,29-03-2013,10,1,10
SO54551,244,12252,17-03-2013,24-03-2013,29-03-2013,35,1,35
SO54552,104,2186,17-03-2013,24-03-2013,29-03-2013,10,1,10
SO54552,295,2186,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54552,247,2186,17-03-2013,24-03-2013,29-03-2013,55,1,55
SO54553,104,10699,17-03-2013,24-03-2013,29-03-2013,10,1,10
SO54553,295,10699,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54554,272,8853,17-03-2013,24-03-2013,29-03-2013,70,1,70
SO54555,272,7524,17-03-2013,24-03-2013,29-03-2013,70,1,70
SO54555,250,7524,17-03-2013,24-03-2013,29-03-2013,50,1,50
SO54555,166,7524,17-03-2013,24-03-2013,29-03-2013,9,1,9
SO54556,295,7553,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54557,295,7375,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54557,168,7375,17-03-2013,24-03-2013,29-03-2013,8,1,8
SO54558,295,6432,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54559,295,6489,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54560,289,5045,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54560,294,5045,17-03-2013,24-03-2013,29-03-2013,64,1,64
SO54561,290,5296,17-03-2013,24-03-2013,29-03-2013,4,1,4
SO54561,286,5296,17-03-2013,24-03-2013,29-03-2013,25,1,25
SO54561,244,5296,17-03-2013,24-03-2013,29-03-2013,35,1,35
SO54561,250,5296,17-03-2013,24-03-2013,29-03-2013,50,1,50
SO54561,234,5296,17-03-2013,24-03-2013,29-03-2013,24,1,24
SO54562,289,2765,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54562,284,2765,17-03-2013,24-03-2013,29-03-2013,35,1,35
SO54562,246,2765,17-03-2013,24-03-2013,29-03-2013,35,1,35
SO54563,286,3812,17-03-2013,24-03-2013,29-03-2013,25,1,25
SO54563,290,3812,17-03-2013,24-03-2013,29-03-2013,4,1,4
SO54563,168,3812,17-03-2013,24-03-2013,29-03-2013,8,1,8
SO54564,285,16002,17-03-2013,24-03-2013,29-03-2013,21,1,21
SO54564,166,16002,17-03-2013,24-03-2013,29-03-2013,9,1,9
SO54565,288,3536,17-03-2013,24-03-2013,29-03-2013,29,1,29
SO54566,291,16837,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54567,291,16927,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54568,291,17424,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54568,288,17424,17-03-2013,24-03-2013,29-03-2013,29,1,29
SO54569,291,15842,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54569,288,15842,17-03-2013,24-03-2013,29-03-2013,29,1,29
SO54569,166,15842,17-03-2013,24-03-2013,29-03-2013,9,1,9
SO54569,244,15842,17-03-2013,24-03-2013,29-03-2013,35,1,35
SO54570,288,1569,17-03-2013,24-03-2013,29-03-2013,29,1,29
SO54570,291,1569,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54570,234,1569,17-03-2013,24-03-2013,29-03-2013,24,1,24
SO54571,108,4861,17-03-2013,24-03-2013,29-03-2013,540,1,540
SO54572,117,2939,17-03-2013,24-03-2013,29-03-2013,769,1,769
SO54572,283,2939,17-03-2013,24-03-2013,29-03-2013,30,1,30
SO54572,289,2939,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54572,246,2939,17-03-2013,24-03-2013,29-03-2013,35,1,35
SO54572,250,2939,17-03-2013,24-03-2013,29-03-2013,50,1,50
SO54573,120,1190,17-03-2013,24-03-2013,29-03-2013,2295,1,2295
SO54573,174,1190,17-03-2013,24-03-2013,29-03-2013,22,1,22
SO54573,247,1190,17-03-2013,24-03-2013,29-03-2013,55,1,55
SO54574,125,1711,17-03-2013,24-03-2013,29-03-2013,2320,1,2320
SO54574,245,1711,17-03-2013,24-03-2013,29-03-2013,35,1,35
SO54575,137,7740,17-03-2013,24-03-2013,29-03-2013,1701,1,1701
